Modelis,Mėnesio kaina,Kaina
Apple iPhone 13,"32,46 €/mėn.",779 €
Apple iPhone 12,"27,88 €/mėn.",669 €
Apple iPhone 11,"18,71 €/mėn.",449 €
Apple iPhone 13 mini,"28,30 €/mėn.",679 €
Apple iPhone 13 Pro,"45,80 €/mėn.",1 099 €
Apple iPhone 13 Pro Max,"49,96 €/mėn.",1 199 €
Apple iPhone SE,"18,71 €/mėn.",449 €
Samsung Galaxy S21 FE,"24,13 €/mėn.",579 €
Samsung Galaxy A53 5G,"16,21 €/mėn.",389 €
Samsung Galaxy A33,"13,30 €/mėn.",319 €
Samsung Galaxy Flip3 5G,"24,96 €/mėn.",599 €
Samsung Galaxy Fold3 5G,"69,55 €/mėn.",1 669 €
Samsung Galaxy S22,"31,21 €/mėn.",749 €
Samsung Galaxy S22+,"44,13 €/mėn.",1 059 €
Samsung Galaxy S22 Ultra,"48,30 €/mėn.",1 159 €
OnePlus 8T,"17,46 €/mėn.",419 €
Xiaomi 12,"31,21 €/mėn.",749 €
Xiaomi 12 Pro,"41,63 €/mėn.",999 €
